ac_year,state_code,state_name,district_code,district_name,block_code,block_name,sch_category_id,category_name,sch_mgmt_id,sch_mgmt_name,loc_name,caste_id,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls,caste_name
2017-18,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,3,HSS (I-XII),1,Department of Education,Rural,1,23,0,19,21,22,24,28,33,36,42,31,3,2,5,0,0,0,0,16,22,23,18,49,35,18,21,General
2017-18,19,West Bengal,1922,ALIPURDUAR,192214,ALIPURDUAR MUNICIPALITY,3,HSS (I-XII),1,Department of Education,Urban,1,0,0,0,0,0,0,237,226,221,281,255,238,233,284,0,0,0,0,141,40,198,211,221,207,218,192,General
2017-18,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,1,27,14,17,14,7,8,9,8,10,8,20,19,8,11,12,4,6,4,3,6,4,6,6,12,3,7,General
2017-18,19,West Bengal,1922,ALIPURDUAR,192204,FALAKATA,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,1,30,25,45,20,21,30,20,21,20,19,30,29,40,45,33,18,20,25,19,22,21,20,35,20,40,30,General
2017-18,19,West Bengal,1922,ALIPURDUAR,192206,KALCHINI,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,1,236,204,114,101,116,125,130,122,96,118,95,85,67,71,91,104,79,91,86,94,89,87,112,67,72,76,General
2017-18,19,West Bengal,1922,ALIPURDUAR,192208,MADARIHAT,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,1,75,80,35,43,37,45,48,43,62,85,79,51,63,52,28,24,28,29,22,37,41,53,41,63,43,42,General
2017-18,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,3,HSS (I-XII),92,Kendriya Vidyalaya / Central School,Rural,1,0,0,19,21,20,26,29,0,0,0,0,0,0,0,13,15,20,25,22,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1922,ALIPURDUAR,192206,KALCHINI,3,HSS (I-XII),92,Kendriya Vidyalaya / Central School,Rural,1,40,42,42,39,40,48,43,40,64,68,50,35,38,36,34,35,36,43,32,37,46,47,51,37,26,16,General
2017-18,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,5,HSS (VI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,88,131,122,142,202,133,102,150,0,0,0,0,63,80,88,86,114,111,123,147,General
2017-18,19,West Bengal,1922,ALIPURDUAR,192202,ALIPURDUAR-II,5,HSS (VI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,193,113,98,101,123,134,137,116,0,0,0,0,120,83,121,109,133,156,115,124,General
