ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,Rural,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),4,OBC,0,0,10,3,6,6,3,2,3,2,0,0,0,0,6,5,2,9,5,0,1,0,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192202,ALIPURDUAR-II,Rural,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),4,OBC,13,13,13,5,8,6,6,12,4,6,0,0,0,0,8,4,9,4,6,3,11,3,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192204,FALAKATA,Rural,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),4,OBC,8,1,2,1,3,3,0,1,3,3,0,0,0,0,1,4,0,3,0,2,0,0,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192206,KALCHINI,Rural,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),4,OBC,153,128,75,79,76,88,64,37,33,29,0,0,0,0,87,65,74,56,42,38,40,38,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192207,KUMARGRAM,Rural,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),4,OBC,34,11,5,4,5,4,5,5,5,3,0,0,0,0,7,2,2,2,1,3,1,0,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192208,MADARIHAT,Rural,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),4,OBC,131,114,29,42,46,41,36,41,38,30,0,0,0,0,51,43,34,31,34,31,18,20,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,Urban,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),4,OBC,4,2,4,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192206,KALCHINI,Rural,2,cat2,UPS (I-VIII),98,Madarsa unrecognized,4,OBC,0,0,7,7,6,1,0,0,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,4,OBC,0,0,0,0,0,0,21,29,13,34,0,0,0,0,0,0,0,0,43,35,41,81,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192202,ALIPURDUAR-II,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,4,OBC,0,0,0,0,0,0,45,50,49,52,0,0,0,0,0,0,0,0,72,52,64,50,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192204,FALAKATA,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,4,OBC,0,0,0,0,0,0,73,60,56,75,0,0,0,0,0,0,0,0,140,128,111,173,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192206,KALCHINI,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,4,OBC,0,0,0,0,0,0,97,112,67,92,0,0,0,0,0,0,0,0,114,84,99,138,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192207,KUMARGRAM,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,4,OBC,0,0,0,0,0,0,24,43,28,30,0,0,0,0,0,0,0,0,29,31,23,48,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192208,MADARIHAT,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,4,OBC,0,0,0,0,0,0,50,63,42,61,0,0,0,0,0,0,0,0,63,71,58,67,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192214,ALIPURDUAR MUNICIPALITY,Urban,4,cat4,UPS (VI-VIII),1,Department of Education,4,OBC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192202,ALIPURDUAR-II,Rural,4,cat4,UPS (VI-VIII),5,Private Unaided (Recognized),4,OBC,0,0,0,0,0,0,10,9,13,12,0,0,0,0,0,0,0,0,10,8,16,13,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192204,FALAKATA,Rural,4,cat4,UPS (VI-VIII),5,Private Unaided (Recognized),4,OBC,0,0,0,0,0,0,38,44,32,38,0,0,0,0,0,0,0,0,8,27,25,31,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192206,KALCHINI,Rural,4,cat4,UPS (VI-VIII),5,Private Unaided (Recognized),4,OBC,0,0,0,0,0,0,59,44,38,30,0,0,0,0,0,0,0,0,91,88,71,72,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192208,MADARIHAT,Rural,4,cat4,UPS (VI-VIII),5,Private Unaided (Recognized),4,OBC,0,0,0,0,0,0,41,42,36,34,0,0,0,0,0,0,0,0,9,18,19,26,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,Rural,4,cat4,UPS (VI-VIII),98,Madarsa unrecognized,4,OBC,0,0,0,0,0,0,5,5,6,6,0,0,0,0,0,0,0,0,6,6,8,10,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192204,FALAKATA,Rural,4,cat4,UPS (VI-VIII),98,Madarsa unrecognized,4,OBC,0,0,0,0,0,0,14,13,19,23,0,0,0,0,0,0,0,0,9,12,9,15,0,0,0,0
2019-20,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,Rural,3,cat3,HSS (I-XII),5,Private Unaided (Recognized),1,General,25,15,9,10,12,7,9,13,7,6,10,20,8,8,9,8,7,6,3,5,6,4,8,12,8,3
2019-20,19,West Bengal,1922,ALIPURDUAR,192204,FALAKATA,Rural,3,cat3,HSS (I-XII),5,Private Unaided (Recognized),1,General,25,25,55,66,33,44,55,25,24,26,28,21,15,52,55,22,11,55,66,25,25,28,24,52,21,12
2019-20,19,West Bengal,1922,ALIPURDUAR,192206,KALCHINI,Rural,3,cat3,HSS (I-XII),5,Private Unaided (Recognized),1,General,181,150,109,117,106,124,127,126,129,149,121,84,94,76,93,103,97,77,94,100,90,88,80,69,62,55
2019-20,19,West Bengal,1922,ALIPURDUAR,192208,MADARIHAT,Rural,3,cat3,HSS (I-XII),5,Private Unaided (Recognized),1,General,57,52,26,34,39,44,37,42,52,78,90,78,49,62,26,28,31,30,30,34,27,73,63,59,49,65
2019-20,19,West Bengal,1922,ALIPURDUAR,192214,ALIPURDUAR MUNICIPALITY,Urban,3,cat3,HSS (I-XII),5,Private Unaided (Recognized),1,General,0,0,39,58,53,45,43,46,35,37,35,36,39,23,47,39,45,42,45,37,31,26,46,23,27,34
2019-20,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,Rural,3,cat3,HSS (I-XII),92,Kendriya Vidyalaya / Central School,1,General,0,0,51,68,39,53,56,47,51,56,83,43,60,59,65,55,39,57,38,41,36,47,63,58,36,38
2019-20,19,West Bengal,1922,ALIPURDUAR,192206,KALCHINI,Rural,3,cat3,HSS (I-XII),92,Kendriya Vidyalaya / Central School,1,General,20,54,19,39,36,31,25,37,29,27,45,29,32,22,35,42,32,33,25,22,24,26,28,25,27,27
2019-20,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,Rural,5,cat5,HSS (VI-XII),1,Department of Education,1,General,0,0,0,0,0,0,171,155,160,160,192,193,147,113,0,0,0,0,67,61,61,76,101,98,157,140
2019-20,19,West Bengal,1922,ALIPURDUAR,192202,ALIPURDUAR-II,Rural,5,cat5,HSS (VI-XII),1,Department of Education,1,General,0,0,0,0,0,0,127,101,101,115,188,136,102,106,0,0,0,0,100,100,90,117,129,150,119,125
2019-20,19,West Bengal,1922,ALIPURDUAR,192204,FALAKATA,Rural,5,cat5,HSS (VI-XII),1,Department of Education,1,General,0,0,0,0,0,0,241,180,207,218,306,191,209,206,0,0,0,0,161,187,181,206,237,250,193,217
