District,Year,Government,Private,Total,Retention_Rate,Madhyamik_Pass_Percentage,HS_Pass_Percentage,Literacy_Rate,Girls_Percentage,Performance_Index,Calculated_Total,Total_Difference,Other_Institutions,ID,Madhyamik_Growth_%,HS_Growth_%,HS_Madhyamik_Gap,Literacy_Madhyamik_Gap,Performance_per_Student,Gender_Deviation,Composite_Score
ALIPURDUAR,2018,261848,57300,322643,0.24,71.3,74.0,73.0,50.34,72.72,319148,3495,3495,ALIPURDUAR_2018,0.0,0.0,2.700000000000003,1.7000000000000028,0.00022538843241601397,0.3400000000000034,72.72
ALIPURDUAR,2019,252773,64328,320447,0.35,72.5,77.4,73.0,49.99,74.56,317101,3346,3346,ALIPURDUAR_2019,1.6830294530154388,4.594594594594592,4.900000000000006,0.5,0.00023267498213433113,-0.00999999999999801,74.56
ALIPURDUAR,2020,250810,72961,324336,0.35,73.8,81.0,73.0,49.88,76.52,323771,565,565,ALIPURDUAR_2020,1.7931034482758568,4.6511627906976605,7.200000000000003,-0.7999999999999972,0.00023592817325242957,-0.11999999999999744,76.52000000000001
BANKURA,2018,698436,47690,754032,0.27,78.6,78.3,70.3,48.72,76.82,746126,7906,7906,BANKURA_2018,0.0,0.0,-0.29999999999999716,-8.299999999999997,0.0001018789653489507,-1.2800000000000011,76.82
BANKURA,2019,685926,53910,747701,0.37,79.7,81.4,70.3,48.84,78.5,739836,7865,7865,BANKURA_2019,1.3994910941475869,3.9591315453384457,1.7000000000000028,-9.400000000000006,0.00010498849138893756,-1.1599999999999966,78.5
BANKURA,2020,686327,58615,745170,0.39,80.9,84.6,70.3,48.85,80.26,744942,228,228,BANKURA_2020,1.505646173149322,3.9312039312039193,3.6999999999999886,-10.600000000000009,0.00010770696619563321,-1.1499999999999986,80.26
BIRBHUM,2018,694933,36492,781229,0.21,78.8,78.5,70.7,49.98,77.06,731425,49804,49804,BIRBHUM_2018,0.0,0.0,-0.29999999999999716,-8.099999999999994,9.86394514284544e-05,-0.020000000000003126,77.06
BIRBHUM,2019,680571,46738,775140,0.3,79.9,81.6,70.7,50.11,78.74,727309,47831,47831,BIRBHUM_2019,1.3959390862944288,3.9490445859872603,1.6999999999999886,-9.200000000000003,0.00010158164976649379,0.10999999999999943,78.74000000000001
BIRBHUM,2020,702139,53864,781031,0.31,81.1,84.8,70.7,50.23,80.5,756003,25028,25028,BIRBHUM_2020,1.5018773466833446,3.9215686274509887,3.700000000000003,-10.399999999999991,0.00010306889227188165,0.22999999999999687,80.5
COOCH BIHAR,2018,579953,14984,661234,0.23,80.9,80.0,74.8,50.26,79.32,594937,66297,66297,COOCH BIHAR_2018,0.0,0.0,-0.9000000000000057,-6.1000000000000085,0.00011995753394411054,0.259999999999998,79.32000000000002
