ac_year,state_code,state_name,district_code,district_name,block_code,block_name,sch_category_id,category_name,sch_mgmt_id,sch_mgmt_name,loc_name,caste_id,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls,caste_name
2018-19,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,3,HSS (I-XII),1,Department of Education,Rural,1,0,0,37,45,20,38,27,21,23,28,47,25,38,44,0,0,0,0,0,0,0,0,0,0,0,0,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192214,ALIPURDUAR MUNICIPALITY,3,HSS (I-XII),1,Department of Education,Urban,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,121,198,178,186,169,137,152,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,1,25,15,9,10,12,7,9,13,7,6,10,20,8,8,9,8,7,6,3,5,6,4,8,12,8,3,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192204,FALAKATA,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,1,25,25,55,66,33,44,55,25,24,26,28,21,15,52,55,22,11,55,66,25,25,28,24,52,21,12,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192206,KALCHINI,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,1,233,186,117,113,100,125,126,128,116,134,120,92,93,77,88,90,89,87,88,92,88,81,88,61,61,61,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192208,MADARIHAT,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,1,72,76,33,33,54,35,43,44,39,60,82,75,54,62,25,30,25,28,30,22,27,39,54,40,62,40,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192214,ALIPURDUAR MUNICIPALITY,3,HSS (I-XII),5,Private Unaided (Recognized),Urban,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,3,HSS (I-XII),92,Kendriya Vidyalaya / Central School,Rural,1,0,0,14,23,19,15,29,26,28,28,36,18,22,15,65,55,39,57,38,41,36,47,63,58,36,38,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192206,KALCHINI,3,HSS (I-XII),92,Kendriya Vidyalaya / Central School,Rural,1,20,54,23,32,41,23,29,24,30,26,60,20,35,22,20,37,40,29,22,26,24,21,43,17,38,17,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192201,ALIPURDUAR-I,5,HSS (VI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,286,269,324,307,364,318,259,189,0,0,0,0,123,127,163,176,238,181,260,210,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192202,ALIPURDUAR-II,5,HSS (VI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,127,106,121,143,134,120,94,82,0,0,0,0,114,97,148,156,167,184,135,93,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192204,FALAKATA,5,HSS (VI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,207,131,199,216,239,242,169,160,0,0,0,0,99,68,94,91,158,120,95,143,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192206,KALCHINI,5,HSS (VI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,396,344,414,476,786,590,488,405,0,0,0,0,329,303,360,430,742,614,579,507,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192207,KUMARGRAM,5,HSS (VI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,261,280,265,373,566,447,348,348,0,0,0,0,166,157,193,214,342,356,294,297,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192208,MADARIHAT,5,HSS (VI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,118,121,150,175,223,178,163,183,0,0,0,0,102,111,150,176,210,226,195,186,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192204,FALAKATA,5,HSS (VI-XII),1,Department of Education,Urban,1,0,0,0,0,0,0,27,17,30,40,54,29,23,29,0,0,0,0,141,145,229,233,301,161,138,139,General
2018-19,19,West Bengal,1922,ALIPURDUAR,192214,ALIPURDUAR MUNICIPALITY,5,HSS (VI-XII),1,Department of Education,Urban,1,0,0,0,0,0,0,199,219,235,227,264,251,241,244,0,0,0,0,113,113,123,141,207,167,181,165,General
